id,sexo,edad,nivel_esc,esc_cve,lenguaje,cognitivas,sociales,tecnicas,puesto,trabajos_n,palabras_n,validaciones_n,contactos_n,rimbo_n,sostenimiento,experiencia,atractivo,confiable
6179,2,30,2,3490,1,3,4,1,3,10,86,24,251,0,1,0,3,1
6180,2,36,2,3490,1,3,5,2,2,8,98,10,117,0,1,0,2,1
6181,2,31,2,3490,1,3,1,0,3,6,198,2,443,0,1,0,4,1
6182,2,33,2,3490,1,6,6,0,2,12,387,34,176,0,1,0,3,1
6183,2,34,2,3490,1,2,0,0,4,10,8,0,500,0,1,0,3,1
6184,2,35,2,3490,1,2,4,3,4,10,166,30,269,2,1,0,3,0
6185,1,31,2,460,1,5,4,4,4,10,292,108,500,0,1,1,4,1
6186,2,36,1,2169,1,6,5,0,4,5,127,56,365,1,0,0,4,1
6187,1,34,1,2169,1,6,14,3,4,14,199,86,495,0,0,0,2,0
6188,2,36,1,452,1,8,7,1,4,14,318,0,261,2,1,1,4,1
6189,2,30,2,460,0,5,14,6,2,12,91,0,166,6,1,0,4,1
6190,2,29,2,460,1,0,3,0,4,10,23,0,249,0,1,0,2,0
6191,2,30,2,460,0,4,14,5,2,16,153,4,500,0,1,0,2,0
6192,2,31,2,460,1,0,0,3,4,8,58,24,492,0,1,0,5,1
6193,2,30,1,460,1,6,3,0,4,6,55,60,409,0,1,0,4,1
6194,1,30,2,460,1,1,10,4,1,17,142,62,500,0,1,0,3,1
6195,2,31,2,460,1,9,6,6,4,10,170,165,280,2,1,1,4,1
6196,2,31,2,460,1,2,0,2,4,5,125,71,500,0,1,0,3,1
6197,2,31,1,1402,1,0,1,1,4,14,98,12,122,0,0,0,4,1
6198,2,31,2,3145,1,3,9,3,4,10,168,0,29,0,1,1,4,1
6199,1,31,2,3145,1,7,12,1,4,10,98,8,444,4,1,0,4,1
6200,1,31,2,3145,1,3,1,3,4,14,43,0,182,1,1,1,3,1
6201,2,33,1,3145,1,2,2,0,2,10,199,88,449,0,1,0,2,1
6202,1,30,2,3145,1,0,0,0,4,9,136,6,461,0,1,0,4,1
6203,1,33,1,3145,1,1,4,0,4,12,46,0,81,0,1,1,3,1
6204,1,26,2,3145,1,0,0,2,4,4,51,8,84,0,1,0,3,1
6205,2,30,2,3145,1,3,4,0,4,4,54,0,21,1,1,1,3,1
6206,2,31,2,3145,1,0,5,1,2,14,30,0,70,0,1,0,1,0
6208,2,31,2,3145,1,3,8,2,4,14,232,0,60,0,1,1,4,1
6209,1,30,2,3145,1,3,4,0,3,6,120,6,134,1,1,0,4,1
6210,2,30,2,3145,1,5,1,4,2,3,168,18,500,1,1,1,4,1
6211,2,31,2,3145,0,2,4,3,4,10,18,0,31,0,1,0,1,0
